message_id,message_text,label,scam_type,platform,contains_link,btc_address_present,urgency_level,promised_return_pct,sentiment_score,message_length,created_at
MSG00001,Bitcoin price shows strong resistance near 65k.,legit,none,Email,No,No,low,,-0.554,47,2024-03-15 15:13:00
MSG00002,Tips for long-term crypto investment.,legit,none,WhatsApp,No,No,low,,-0.94,37,2024-06-08 04:58:00
MSG00003,Tips for long-term crypto investment.,legit,none,Discord,No,No,low,,0.122,37,2024-11-01 11:38:00
MSG00004,Latest Bitcoin market update and trends.,legit,none,Discord,No,No,medium,,0.619,40,2024-01-05 17:34:00
MSG00005,Latest Bitcoin market update and trends.,legit,none,Email,No,No,medium,,-0.689,40,2024-09-02 02:24:00
MSG00006,Bitcoin price shows strong resistance near 65k.,legit,none,WhatsApp,No,No,low,,-0.282,47,2024-09-07 11:03:00
MSG00007,Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim,scam,impersonation,Discord,Yes,No,medium,,0.104,69,2024-09-20 08:01:00
MSG00008,Bitcoin price shows strong resistance near 65k.,legit,none,Twitter,No,No,high,,-0.544,47,2024-07-29 17:25:00
MSG00009,How to secure your crypto wallet effectively.,legit,none,Twitter,No,No,medium,,-0.444,45,2024-09-22 15:54:00
MSG00010,Blockchain technology explained in simple terms.,legit,none,Email,No,No,low,,0.34,48,2024-02-21 23:50:00
MSG00011,Tips for long-term crypto investment.,legit,none,Telegram,No,No,low,,-0.075,37,2024-07-15 13:40:00
MSG00012,Blockchain technology explained in simple terms.,legit,none,Twitter,No,No,low,,0.644,48,2024-08-17 16:56:00
MSG00013,Urgent: Your wallet is compromised. Verify immediately.,scam,phishing,Telegram,No,Yes,high,100.0,-0.575,55,2024-12-29 12:41:00
MSG00014,Elon Musk BTC giveaway! Limited time offer.,scam,giveaway,Email,No,No,high,100.0,0.494,43,2024-11-07 23:25:00
MSG00015,Urgent: Your wallet is compromised. Verify immediately.,scam,giveaway,Telegram,No,No,low,,0.722,55,2024-04-21 07:05:00
MSG00016,Latest Bitcoin market update and trends.,legit,none,Discord,No,No,low,,-0.23,40,2024-12-06 19:45:00
MSG00017,Invest now and double your Bitcoin in 24 hours.,scam,phishing,Twitter,No,Yes,high,100.0,0.537,47,2024-09-04 16:59:00
MSG00018,Blockchain technology explained in simple terms.,legit,none,WhatsApp,No,No,low,,-0.093,48,2024-07-10 19:03:00
MSG00019,Tips for long-term crypto investment.,legit,none,Twitter,No,No,high,,-0.403,37,2024-05-24 20:13:00
MSG00020,Blockchain technology explained in simple terms.,legit,none,Telegram,No,No,high,,0.907,48,2024-01-01 09:59:00
MSG00021,Elon Musk BTC giveaway! Limited time offer.,scam,phishing,Twitter,No,Yes,medium,50.0,-0.884,43,2024-02-27 08:22:00
MSG00022,Latest Bitcoin market update and trends.,legit,none,Twitter,No,No,high,,0.532,40,2024-04-03 11:48:00
MSG00023,Invest now and double your Bitcoin in 24 hours.,scam,giveaway,Email,No,No,high,200.0,0.929,47,2024-05-26 11:22:00
MSG00024,Elon Musk BTC giveaway! Limited time offer.,scam,investment,WhatsApp,No,Yes,medium,,-0.504,43,2024-02-16 14:56:00
